"country_or_area","labour_force_participation_rate_female_percent","labour_force_participation_rate_male_percent","percent_ever_married_female_aged_15_19","percent_ever_married_male_aged_15_19","mean_age_at_marriage_female","mean_age_at_marriage_male","contraceptive_prevalence_rate_any_method_percent","womens_share_of_tertiary_enrolment_percent","womens_share_of_labour_force_percent","adult_literacy_rate_male_percent","adult_literacy_rate_female_percent","abortion_rate_per_1000_women","total_fertility_rate_per_woman"
"Suriname","31.3","70.3",NA,NA,NA,NA,"42.1","62","31.4","92","87.2",NA,"3"
"Swaziland","40.6","82.4","9","1","26","29.3","27.7","48","38.1","69.7","65.2",NA,"6.1"
"Sweden","61.2","71","6.4","1.1","32.3","34.5",NA,"58","47.3",NA,NA,"20.2","1.9"
"Switzerland","47.1","79.4","1.1","0.1","29.1","31.6","82","42","38.9",NA,NA,"7.3","1.5"
"Syria","24.9","79.9",NA,NA,NA,NA,"39.6",NA,"23.8","91","74.2",NA,"6.2"
"Tajikistan","56.5","75.1","11.5","1.2","21.2","23.4","33.9","25","43.9","98.8","96.6","12.6","5.4"
"Tanzania","88.8","92.3","29.4","4.1","20.5","25.1","10.4","21","50.2","71.4","48.1",NA,"6.4"
"Thailand","75.1","88","14.6","3.9","23.5","26","73.9","53","46.8","94.9","90.5",NA,"2.3"
"Timor Leste","54.1","83.3",NA,NA,NA,NA,"10","53","39.3",NA,NA,NA,"5.2"
"Togo","54","89.7",NA,NA,"21.3","27","23.5","17","38.7","68.7","38.5",NA,"6.6"
"Tokelau",NA,NA,NA,NA,NA,NA,NA,"…",NA,NA,NA,NA,NA
"Tonga","36.4","75.8","6.1","2.4","25.5","28",NA,"55","33.3","98.8","99",NA,"4.7"
"Trinidad and Tobago","41.8","80","8.8","1.2","26.8","29.8","38.2","59","34.8","98.2","96.1",NA,"2.8"
"Tunisia","19.7","77.7","3","0","26.6","30.3","60","48","20.1","83.4","65.3","8.6","4.1"
"Turkey","38.5","83.4","15.8","5.2","22",NA,"62.6","40","31.3","87.6","64.2",NA,"3.3"
"Turkmenistan","63.3","76.5",NA,NA,"23.4",NA,"61.8",NA,"47","99.3","98.3",NA,"4.6"
"Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,"…",NA,NA,NA,NA,NA
"Tuvalu",NA,NA,"10.7","2",NA,NA,NA,"…",NA,NA,NA,NA,NA
"Uganda","80.2","92.3","39.2","6.7","19.6","23.5","14.8","35","47.1","68.2","44.8",NA,"7.1"
"Ukraine","58.9","75.3",NA,NA,"21.7",NA,"67.5","53","49.3","99.7","99.2","27.5","2"
"United Arab Emirates","20.7","94",NA,NA,"23.1","25.6","27.5","67","8.5","79.7","79",NA,"4.8"
"United Kingdom","49.4","75.5","3","0.6","26.4","28.4","82","53","41.5",NA,NA,"17","1.8"
"United Kingdom: England and Wales",NA,NA,"2.9","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States of America","54.2","76.2","6.6","1.3","26.3","28.6","70.7","56","43.1",NA,NA,"20.8","1.9"
"United States Virgin Islands","53.9","76.3",NA,NA,"29.9","31.6",NA,NA,"44.4",NA,NA,NA,"3.1"
"Uruguay","39.4","76.5","11.3","2","23.3","25.6",NA,"63","35.8","94.8","95.9",NA,"2.5"
"Uzbekistan","58.7","75.5","11","1.3","20.6",NA,"55.6","44","45.2",NA,NA,"7.8","4.4"
"Vanuatu","78.5","87.5","11.8","2.3","22.6","25.3",NA,"35","45.9",NA,NA,NA,"5"
"Venezuela","34.7","80.5","17.3","5.3","22.1","25.4","70.3","59","29.9","90.7","89",NA,"3.6"
"Vietnam","73.9","81.9","11.3","4.5","22.1",NA,"65","43","48.2","93","82.8","35.2","4"
"Wallis and Futuna",NA,NA,"2.1","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yemen","28.1","73.6","23.9","4.4","20.7",NA,"9.7","26","28.4","56.7","17.1",NA,"8.4"
"Zambia",NA,NA,"28.3","4.2","21.1","25.9","15.2","32","43.4","73","57.4",NA,"6.7"
"Zimbabwe",NA,NA,"15.9","1.5","21.1","25.7","48.1","37","48.3","88.9","78.5",NA,"5.7"
